name,desc,sym,lat,lon
1A,Peveril Ledge,R,50.60683333,-1.935
1B,Poole Bar No 1,G,50.65483333,-1.919
1C,MS Amlin,Y,50.67183333,-1.900333333
1E,Christchurch Ledge Buoy,Y,50.69166667,-1.693333333
1F,Needles Fairway,RW,50.63733333,-1.649666667
1G,South West Shingles,R,50.65483333,-1.625333333
1H,Bridge,YBY,50.6605,-1.614666667
1J,Shingles Elbow,R,50.67283333,-1.600833333
1K,North Head,G,50.7115,-1.592
1L,Needles Lighthouse,RW,50.66216667,-1.591666667
1M,Warden,G,50.69133333,-1.559166667
1N,North East Shingles,BYB,50.69933333,-1.556833333
2A,Hurst,Y,50.71316667,-1.542166667
2B,Dunford,Y,50.723,-1.525666667
2C,Colten,Y,50.7305,-1.514333333
2F,Berthon,Y,50.73666667,-1.487
2H,“H”,Y,50.73833333,-1.469333333
2J,Zwerver,Y,50.75183333,-1.455666667
2K,1851 Trust,Y,50.74716667,-1.434833333
2R,Powder Byrne,Y,50.75716667,-1.4315
2T,Lymington Bank,R,50.71833333,-1.514166667
2X,Solent Bank,R,50.73716667,-1.456166667
20,Sconce,BY,50.70883333,-1.523833333
21,Black Rock,G,50.7095,-1.509833333
22,Charles Stanley Wealth Managers,Y,50.71433333,-1.49
24,The English Summer Berry Co,Y,50.71433333,-1.473666667
25,Caldwells Estate Agents,Y,50.71916667,-1.458166667
26,Hamstead Ledge,G,50.73116667,-1.436333333
27,Alitex,Y,50.71616667,-1.469333333
3A,West Lepe,R,50.754,-1.4015
3B,Newtown East,Y,50.73633333,-1.3965
3C,craftinsure.com,Y,50.76066667,-1.385333333
3D,Salt Mead,G,50.74183333,-1.384
3E,Dick Johnson,Y,50.76883333,-1.369833333
3F,elephantboatyard.co.uk,Y,50.74383333,-1.364666667
3G,Sevenstar Yacht Transport,Y,50.77633333,-1.357666667
3H,East Lepe,R,50.7655,-1.351166667
3K,Lepe Spit,YB,50.77966667,-1.344
3L,Gurnard Ledge,G,50.7585,-1.343166667
3N,Quinnell,Y,50.7845,-1.331333333
3P,Cowes Yacht Haven,Y,50.76133333,-1.333
3Q,East Bay,Y,50.76616667,-1.324166667
3R,North East Gurnard,R,50.78433333,-1.323666667
3S,Royal Thames,Y,50.79683333,-1.320833333
3T,KMS,Y,50.76833333,-1.3145
3U,Gurnard,BY,50.77033333,-1.314
3V,West Bramble,YBY,50.78666667,-1.310833333
3W,Williams Shipping,Y,50.78666667,-1.309166667
3X,Party,Y,50.76833333,-1.307166667
3Y,West Knoll,Y,50.7905,-1.297333333
3Z,Trinity House Buoy,Y,50.77183333,-1.295833333
30,RORC,Y,50.78533333,-1.295333333
31,South Bramble,G,50.783,-1.295333333
33,Prince Consort,BY,50.7735,-1.292666667
39,Snowden,Y,50.77,-1.295833333
4B,Coronation,Y,50.82583333,-1.293666667
4C,Rigit UK Rigging,Y,50.82016667,-1.291
4E,Mike Till,Y,50.7945,-1.283333333
4F,Deloitte Sailing Club,Y,50.78666667,-1.283333333
4G,Cutter,Y,50.82416667,-1.281833333
4H,East Knoll,G,50.79933333,-1.2805
4J,hamblewinterseries.com,Y,50.8105,-1.2775
4K,Royal London YC,Y,50.76916667,-1.2775
4L,William,Y,50.81716667,-1.274833333
4M,Hill Head,R,50.80116667,-1.266666667
4N,QXI International,Y,50.78783333,-1.265
4P,West Ryde Middle,YBY,50.77466667,-1.263166667
4Q,Robin Culpan,Y,50.80766667,-1.262
4R,Darling Buoy,Y,50.81966667,-1.261833333
4S,Royal Southern,Y,50.81466667,-1.2595
4T,Norris,R,50.76616667,-1.2585
4U,Fever Tree,Y,50.77383333,-1.2515
4V,Hamble Yacht Services,Y,50.80216667,-1.244
4W,Goodall Roofing,Y,50.78883333,-1.243166667
4X,Colette,Y,50.75883333,-1.239833333
4Y,North Ryde Middle,R,50.77683333,-1.2385
4Z,South Ryde Middle,G,50.76883333,-1.236
40,Fastnet Insurance,Y,50.79433333,-1.2275
41,East Bramble,BYB,50.78716667,-1.227333333
42,Peel Bank,R,50.75816667,-1.2225
43,Wightlink,Y,50.76933333,-1.218166667
44,Royal Yacht Squadron,Y,50.7885,-1.201666667
45,South East Ryde Middle,YB,50.7655,-1.201666667
46,North East Ryde Middle,R,50.77016667,-1.198
47,Maraval,Y,50.795,-1.254166667
5A,Quarr,Y,50.7505,-1.198166667
5B,Motherbank,R,50.75816667,-1.186833333
5C,Browndown,G,50.77616667,-1.1825
5D,Kemps Quay,Y,50.753,-1.160833333
5E,Darling Associates Architects,Y,50.771,-1.146
5F,North Sturbridge,BY,50.7555,-1.137166667
5G,RNC & RAYC,Y,50.77366667,-1.131666667
5J,KB Dry Stack,Y,50.77683333,-1.1215
5M,Gleeds,Y,50.7685,-1.108666667
5Q,Outer Spit,YB,50.75733333,-1.091
5R,Horse Sand Buoy,G,50.75883333,-1.087833333
5S,Saddle Buoy,G,50.75166667,-1.0825
50,Stokes Bay SC West,Y,50.78016667,-1.173333333
51,Stokes Bay SC Central,Y,50.77666667,-1.164166667
6A,No Man’s Land Fort,B,50.74,-1.095
6B,Horse Sand Fort,B,50.75016667,-1.072333333
6C,Warner,R,50.73116667,-1.0665
6D,Horse Elbow,G,50.73766667,-1.064666667
6E,West Princessa,YBY,50.66933333,-1.060833333
6F,Bembridge Ledge Buoy,BYB,50.68583333,-1.046833333
6G,St Helens Buoy,R,50.72266667,-1.040166667
6H,Dean Elbow,G,50.72816667,-1.031333333
6J,Nab East,R,50.71433333,-1.013333333
6K,Horse Tail,G,50.7205,-1.003833333
6L,Winner,YB,50.75166667,-1.001666667
6M,Nab End,R,50.7105,-0.9915
6N,Dean Tail,G,50.7165,-0.9861666667
6P,New Grounds,BYB,50.69733333,-0.9748333333
6R,Nab Tower,B,50.668,-0.9525
6S,Outer Nab No 2,BYB,50.6405,-0.9616666667
8S,Laid mark 8S,B,50.762,-1.249166667
8X,Laid mark 8X,B,50.79116667,-1.215
8Y,Laid mark 8Y,B,50.78333333,-1.188333333
8H,Laid mark 8H,B,50.73,-1.487
8J,Laid mark 8J,B,50.75333333,-1.416666667
8K,Laid mark 8K,B,50.74833333,-1.361666667
8A,Lendy Alpha,Y,50.7715,-1.302166667
8B,Lendy Beta,O,50.77,-1.302166667
8G,Lendy Gamma,Y,50.77083333,-1.293666667
8D,Lendy Delta,Y,50.77183333,-1.281666667
80,RYS Flagstaff,Y,50.76673333,-1.300916667
84,Breakwater Committee Boat,n/a,50.76983333,-1.294333333